filename,source_dir,label,label_index,split,md5,dhash
001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,Potato___Early_blight,Early Blight,0,val,179b88359c32acd18b02dca04586f7b7,262261d3c2221b86
002a55fb-7a3d-4a3a-aca8-ce2d5ebc6925___RS_Early.B 8170.JPG,Potato___Early_blight,Early Blight,0,train,8585f704f9406aa306a427d0677f4bb3,36332129329a4231
009c8c31-f22d-4ffd-8f16-189c6f06c577___RS_Early.B 7885.JPG,Potato___Early_blight,Early Blight,0,train,294deb003487eeb5beabb1223140c643,3936c36165398bc3
00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,Potato___Early_blight,Early Blight,0,val,c11fc2ca546edb1a428a66d963664151,2627787a368e4600
0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015.JPG,Potato___Early_blight,Early Blight,0,train,ca7295a546c9b579777ee2b13ed90d04,8b137179736e1c30
02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,Potato___Early_blight,Early Blight,0,train,0fbcf861d74c2f0016c208ca05096abe,cb2d64647431169c
0267d4ca-522e-4ca0-b1a2-ce925e5b54a2___RS_Early.B 7020.JPG,Potato___Early_blight,Early Blight,0,test,f9b3028faf8d61b44cedd9dbcb432968,9e356393a3cbce73
028f9b73-142f-499a-9c7b-d7c1ed5e5506___RS_Early.B 8546.JPG,Potato___Early_blight,Early Blight,0,val,f14128f1b138e4d1a277e7bfc32842bc,360bcdc662328401
034959c1-f1e8-4a79-a6d5-3c1d14efa2f3___RS_Early.B 7136.JPG,Potato___Early_blight,Early Blight,0,train,a76019b9ef1c2703b2b6b831dedec37c,fdb6d3cdcf4c07f9
03b0d3c1-b5b0-48f4-98aa-f8904670290f___RS_Early.B 7051.JPG,Potato___Early_blight,Early Blight,0,train,fafdca391f6e9147738ba1030eb8a033,2d6560b03014b312
042135e2-e126-4900-9212-d42d900b8125___RS_Early.B 8791.JPG,Potato___Early_blight,Early Blight,0,train,855543e2106e25c944b18ec003155938,8b356ce4e3632c98
044c3abc-0bc9-45fb-8fd5-094aeb605f90___RS_Early.B 8044.JPG,Potato___Early_blight,Early Blight,0,val,a56b4fe44f6c6a30eff40b7e7a7e44b7,18cee34404088600
048d18ae-98b1-484d-97da-5a0e69b9ebc1___RS_Early.B 6845.JPG,Potato___Early_blight,Early Blight,0,train,67dd76d9fab791e06feeb951259a615e,33795071713786cc
04c8e6b9-7710-4cdd-b259-2d78b15d1036___RS_Early.B 7066.JPG,Potato___Early_blight,Early Blight,0,train,2b19a04189a32ce5de14e9318e83e25e,d395393119130e3c
04ee51b6-07e2-4182-84f8-46b22c8938a2___RS_Early.B 8091.JPG,Potato___Early_blight,Early Blight,0,train,0c6babda0929b9cb5663456ec75d18de,3771d139596f6f3c
04fd2a46-ddd4-4b0b-8f19-5ecca482a7d5___RS_Early.B 7273.JPG,Potato___Early_blight,Early Blight,0,train,738044c85b7e10fba758f7e03d6831e1,1603c14066348902
05c35093-11b8-4cd0-b67a-148859754440___RS_Early.B 8939.JPG,Potato___Early_blight,Early Blight,0,train,bc8284dcad09609d355cce016daa4b78,4f67757b737fffbf
0604174e-3018-4faa-9975-0be32d2c0789___RS_Early.B 7123.JPG,Potato___Early_blight,Early Blight,0,train,429dceb5dbba1caeb81a4971829a6bc7,38dc8ec753339b49
060fd5a7-1606-4a59-895b-604c90d6b414___RS_Early.B 7205.JPG,Potato___Early_blight,Early Blight,0,train,b189836cc6aad6e973a18dfd508f407c,8361646264252106
065fc68f-88c9-4fc3-b0a6-a6f5e1072eaa___RS_Early.B 7174.JPG,Potato___Early_blight,Early Blight,0,val,4808177433a01400a623dc84be5ead57,0c337165717b1b8c
06ac6596-8d65-46dd-a343-a2209f3480e4___RS_Early.B 6921.JPG,Potato___Early_blight,Early Blight,0,train,7aee2bde16369c772a803e0b0f6432cc,36b3b995dc0d85c3
06d9fcc9-4eea-4736-8392-5e483e2e948d___RS_Early.B 7411.JPG,Potato___Early_blight,Early Blight,0,val,27f6db7eaeba1c9d99dde5f7cbeefb4a,9c1f454062248166
07953ca1-8935-449f-b338-4357ed683b2d___RS_Early.B 6815.JPG,Potato___Early_blight,Early Blight,0,train,a98c28dfc96644ed5050dd57485326a7,932e4bc9b36b4e18
07baabd8-e118-47dd-9d8d-132d4347836a___RS_Early.B 8555.JPG,Potato___Early_blight,Early Blight,0,train,e6ecca91483b473d4104b9a9e286a961,0d34747262242306
07d777f8-2c5a-48da-935e-f17c572b1e6e___RS_Early.B 7880.JPG,Potato___Early_blight,Early Blight,0,train,b8f04d970e55116314e5134fb35a4460,8b09599999bb3a3d
08029ccc-387e-4be6-9389-04f7b82fdb2a___RS_Early.B 9130.JPG,Potato___Early_blight,Early Blight,0,test,ddb613a7e5ea9eed7c56b0427b3aa81b,376153b4c7c3f7ff
08194ca3-f0b2-4aaa-8df8-5ec5ddc6696a___RS_Early.B 8151.JPG,Potato___Early_blight,Early Blight,0,train,f3cb5fdb4ffda39401f2d81bdc3147a4,c719346459dbc61c
08392b44-ecc6-4f38-8566-361b552cfe21___RS_Early.B 7393.JPG,Potato___Early_blight,Early Blight,0,test,8f5b4fbce969f5d24838798b945fadad,96174985c55b1fcc
0898bffc-57aa-4fdb-92d1-fd6a03d2a011___RS_Early.B 6946.JPG,Potato___Early_blight,Early Blight,0,train,89196c0ca5e7a75696bcc48704d5c4a4,010d2c3464491314
089fb289-4bea-48b6-a29a-3a1d268d9dd3___RS_Early.B 8081.JPG,Potato___Early_blight,Early Blight,0,train,3ad4cf5cf05feec60494a03801ec2a48,9d3d787479db4e5d
08a892eb-19cc-45ea-babc-181b98f89238___RS_Early.B 7367.JPG,Potato___Early_blight,Early Blight,0,test,2a729732dacf222ca15ca90f678bb0bb,cd9d3969cbcf8e79
08bbd7f1-169d-4e38-946f-8d91589b263e___RS_Early.B 7106.JPG,Potato___Early_blight,Early Blight,0,train,cc1c6a488002ca975697bf9bb4531c26,8d3552595b823c70
08cf1add-91f8-41ea-bc13-54e7d1cb6da0___RS_Early.B 6865.JPG,Potato___Early_blight,Early Blight,0,test,38fee354ecadb4c510f185a3047ca504,cf91326c4d4f4c58
094fbf4c-da00-4037-82af-03e712d8db47___RS_Early.B 6908.JPG,Potato___Early_blight,Early Blight,0,train,a47edabf9a71b517eca1a777bfbe0bdd,6341e4d24a498902
096a2c48-104c-4570-9e34-8dd60aa5ebcf___RS_Early.B 6979.JPG,Potato___Early_blight,Early Blight,0,train,21fa13c53b740f65e91ba1077df49591,8938627959331cd8
096f6928-24dd-4efd-acc6-b8246318676c___RS_Early.B 8970.JPG,Potato___Early_blight,Early Blight,0,train,2c7f27c75b50b63322303afd0fdc05b3,5ee785d4de4e4f97
09ab9573-90d5-4001-9b74-14551935deef___RS_Early.B 7603.JPG,Potato___Early_blight,Early Blight,0,train,84bc94c21872342cf2ce5f60d79f239e,8b293226a0424908
0a0744dc-8486-4fbb-a44b-4d63e6db6197___RS_Early.B 7575.JPG,Potato___Early_blight,Early Blight,0,train,5b6191eae5acb2ef9e76ab2caec094d8,c39d336d9b66cd5b
